project_index,project_name,country,plant_year,project_type,project_function,pv_system,module_type,cell_type,transparency,extra_data,installed_power_kWp_,surface_area_m2,yield_kWh_per_A,specific_power_W_per_m2,color,texture,module_size,module_shape,cell_visibility,context,facade_ratio,orientation,inclination_degrees,type_of_integration,façade_composition_1,facade_composition_2,concept,module_orientation,ornamentation
198,Heizplan Solar Park,Switzerland,2010,New,Industrial,Unknown,Thin Film,CIS,-,2010;Swiss BIPV Competence Center;19500,28.2,192,-,-,Black,Glossy,Standard,Rectangular,No,Rural,>0.5,E;S,90,Attached,Heterogeneous,Grid,Subjugation,Horizontal,No
199,High-pressure Pump Rietli,Switzerland,2015,Retrofit,Industrial,Cold Facade,Monocrystalline,-,Opaque,Urban;131 kWp ;950 m2,131,950,-,-,Black,Flat,Standard,Rectangular,Yes,Industrial,1,SW,90,Rainscreen,Homogeneous,Flat,Dominant,Horizontal,No
200,Hofberg 6/7,Switzerland,2011,New,Residential,Rainscreen,Monocrystalline,-,Opaque,-;8;50;55300;-,8,51,55300,-,Black,Flat,Custom,Rectangular,Yes,Agglomeration,<0.5,SE,90,Rainscreen,Heterogeneous,Banner,Integration,Horizontal,No
201,HQ Rhiienergie AG,Switzerland,2020,New,Industrial,Rainscreen,Monocrystalline,Mono,-,2019;9;66;87050;-,8.8,96,87050,95,Print,Satin,Custom,Rectangular,Yes,Agglomeration,0.5,S,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Vertical,Yes
202,Institute for Medical Microbiology UZH,Switzerland,2018,New,Educational,-,Monocrystalline,-,Opaque,-;124;0;-;-,124,-,-,-,Grey,Satin,Custom,Rectangular,No,Urban,1,All,90,Rainscreen,Homogeneous,Banner,Integration,Horizontal,No
203,Jugendstil-PEB-MFH Culmannstr.,Switzerland,2015,-,Residential,Facade Cladding,Monocrystalline,-,Opaque,27.9 kWp,27.9,-,-,-,Black,Flat,Custom,Rectangular,Yes,Urban,>0.5,E,90,Rainscreen,Heterogeneous,Depth,Subordination,Horizontal,No
204,KKLB Fassade,Switzerland,2014,Retrofit,Industrial,Cold Facade,Monocrystalline,-,Opaque,Isolated;7.5;48,7.5,48,-,-,Red,Flat,Custom,Rectangular,No,Rural,1,SW,90,Rainscreen,Homogeneous,Grid,Dominant,Horizontal,No
205,Kloten Milano,Switzerland,2019,New,Residential,-,Monocrystalline,-,-,-;22;0;-;-,22,205,-,-,Black,Satin,Standard,Rectangular,No,Urban,<0.5,All,90,Rainscreen,Heterogeneous,Banner,Integration,Vertical,Yes
206,Logistic Center V-Zug,Switzerland,2009,New,Industrial,Cold Facade,Polycrystalline ,-,Var.,Industrial;19.25 kWp (FaCade);252 kWp (Roof);1800 m2 (Roof),19.3,-,-,-,Blue,Flat,Large,Rectangular,No,Industrial,>0.5,E;W,90,Rainscreen,Homogeneous,VertZigZag,Dominant,Vertical,No
207,Maison Climat,Switzerland,2022,New,Residential,-,Monocrystalline,-,Opaque,2021;74;-;-;-,-,-,-,-,Black,Flat,Small,Square,Yes,Urban,<0.5,S,90,Rainscreen,Heterogeneous,Banner,Integration,Centric,No
208,Project in Männedorf,Switzerland,2020,New,Residential,Rainscreen,Monocrystalline,-,Opaque,-;80;0;50000;0,80,847,90500,132,Red,Satin,Custom,Rectangular,No,Urban,>0.5,All,90,Rainscreen,Heterogeneous,Depth,Integration,Vertical,No
209,Matterhorn Glacier Paradise,Switzerland,2009,-,Public,Facade Cladding,Monocrystalline,Mono,Opaque,-,22,170,-,-,Black,Flat,Standard,Rectangular,Yes,Mountain,1,S,80,Rainscreen,Heterogeneous,Rhythmic,Integration,Horizontal,No
210,Mehrfamilienhaus Chrüzmatte,Switzerland,2015,Retrofit,Residential,Facade Cladding,Monocrystalline,-,Opaque,-,12,-,6500,-,Print,Satin,Custom,Rectangular,No,Urban,<0.5,W,90,Rainscreen,Heterogeneous,Rhythmic,Imitation,Horizontal,Yes
211,MFH in Zwirnerstrasse,Switzerland,2017,New,Residential,Rainscreen,Monocrystalline,-,Opaque,-,25,402,21000,-,Grey,Satin,Small,Rectangular,No,Agglomeration,>0.5,All,85,Rainscreen,Heterogeneous,Depth,Integration,Centric,No
212,MFH Raeber,Switzerland,2010,New,Residential,Facade Cladding,Monocrystalline,-,Opaque,87 m2,-,87,-,-,Multi,Glossy,Custom,Rectangular,Yes,Urban,>0.5,S;W,90,Rainscreen,Heterogeneous,Depth,Dominant,Vertical,Yes
213,MFH Seewadelstrasse,Switzerland,2019,New,Residential,Rainscreen,Monocrystalline,-,Opaque,-,85,688,61000,-,Multi,Satin,Custom,Rectangular,No,Urban,1,All,90,Rainscreen,Heterogeneous,Grid,Integration,Horizontal,No
214,Monte Rosa Hut,Switzerland,2009,New,Public,Unknown,Monocrystalline,Mono,-,2009;Swiss BIPV Competence Center;21000,16,122,-,-,Black,Flat,Custom,Mixed,Yes,Mountain,>0.5,S,75,Warm Facade,Heterogeneous,Sculptural,Dominant,Vertical,No
215,EMPA,Switzerland,1996,-,Educational,Solar Control,Polycrystalline ,-,Opaque,45.5 kW,45.5,-,-,-,Blue,Flat,Standard,Rectangular,Yes,Urban,<0.5,S,90,Solar Control,Heterogeneous,Banner,Integration,Horizontal,No
216,New Campus Franklin University,Switzerland,2023,New,Educational,Solar Control,Monocrystalline,-,Opaque,-;18;0;18700;0,18,138,18700,100,White,Satin,Custom,Rectangular,No,Urban,>0.5,S,90,Solar Control,Heterogeneous,Skin,Integration,Vertical,No
217,New Green Facade,Switzerland,2022,Retrofit,Residential,Rainscreen,Monocrystalline,-,Opaque,2020;52;41;34000;47000,52,-,34000,-,Green,Structured,Custom,Rectangular,No,Urban,>0.5,S;W,85,Rainscreen,Heterogeneous,Rhythmic,Integration,Mixed,No
218,New Tracuit Hut,Switzerland,2013,New,Public,Cold Facade,Monocrystalline,-,Opaque,Mountain;11 kWp ;89 m2,11,89,13600,-,Black,Flat,Standard,Rectangular,Yes,Mountain,1,S,80,Rainscreen,Homogeneous,Flat,Dominant,Vertical,No
219,Novartis Pavillon,Switzerland,2022,New,Public,Rainscreen,Organic photovoltaic,-,Opaque,36.0 kWp,36,-,1300,-,Black,Flat,Small,Rhomboid,No,Urban,1,All,Var.,Attached,Homogeneous,Media,Dominant,Centric,Yes
220,PEB Fitness/Wellness NEST,Switzerland,2017,New,Public,Solar Control,Monocrystalline,-,Translucent,24.2 kWp,6.4,58,4300,-,Black,Flat,Standard,Rectangular,Yes,Industrial,0.5,-,90,Rainscreen,Heterogeneous,-,Integration,-,No
221,PEB-Clevergie AG,Switzerland,2017,-,Office,Facade Cladding,Monocrystalline,-,Opaque,90 kWp,90,-,-,-,Black,Flat,Standard,Rectangular,Yes,Rural,0.5,All,90,Rainscreen,Heterogeneous,Grid,Integration,Horizontal,No
222,PEB-Doppelfamilienhaus Fent,Switzerland,2015,-,Residential,Facade Security,Monocrystalline,-,Translucent,21.7 kWp,7.7,73,5500,-,Black,Flat,Custom,Rectangular,Yes,Agglomeration,0.5,E;S;W,90,Rainscreen,Heterogeneous,Banner,Integration,Mixed,Yes
223,PEB-EFH und Büro Güller,Switzerland,2016,New,Office,Facade Cladding,Monocrystalline,-,Opaque,24.1 kWp,17.8,113,11000,-,Black,Flat,Standard,Rectangular,No,Agglomeration,>0.5,E;S;W,90,Rainscreen,Heterogeneous,Banner,Integration,Vertical,No
224,PEB-MFH Ebneter,Switzerland,2016,-,Residential,Facade Cladding,-,-,Opaque,40.7 kWp,22.6,180,14300,-,Blue,Flat,Custom,Mixed,Yes,Agglomeration,1,All,90,Rainscreen,Homogeneous,Flat,Subordination,Mixed,No
225,PEB-MFH Immobilien,Switzerland,2017,-,Residential,Facade Security,-,-,Opaque,31 kWp,12.4,84,5600,-,Black,Flat,Standard,Rectangular,-,Agglomeration,<0.5,E;S;W,90,Facade Security; Rainscreen,Heterogeneous,-,Integration,Horizontal,No
226,PEB-MFH SonnenparkPLUS,Switzerland,2017,New,Residential,Facade Security,Monocrystalline,-,Translucent,80.7 kWp,36.1,280,23000,-,Black,Flat,Custom,Rectangular,Yes,Urban,1,S;W,90,Facade Security; Rainscreen,Heterogeneous,Depth,Integration,Horizontal,No
227,Palazzo Positivo,Switzerland,2012,Retrofit,Residential,"Flat Roof,Cold Facade,Louvres Balcony",Mixed,-,Var.,Urban;6.7 kWp(balcony); 45.9 kWp (facade);67 mq (balcony); 583 mq (facade),52.6,650,14500,-,Red,Glossy,Custom,Square,No,Urban,1,All,90,Facade Security; Rainscreen,Heterogeneous,Depth,Integration,Centric,No
228,Project in Thalwil,Switzerland,2020,New,Residential,-,-,-,-,-;32;0;11000;0,32,-,11000,-,Brown,Flat,Standard,Rectangular,No,Urban,>0.5,All,90,Rainscreen,Heterogeneous,Depth,Integration,Vertical,No
229,Schmölzer House,Switzerland,2003,New,Residential,Louvres Balcony,Polycrystalline ,-,Translucent,"Urban;3,12 kWp (roof+balciny+screens); -",3.1,-,-,-,Blue,Flat,Large,Rectangular,Yes,Agglomeration,<0.5,S,90,Solar Control;Facade Security,Heterogeneous,-,Integration,Vertical,No
230,Silo Bleu,Switzerland,2018,New,Office,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,-;132;8;90000;-,132,926,62500,125,Grey,Satin,Custom,Rectangular,No,Urban,1,All,90,Rainscreen,Homogeneous,Rhythmic,Integration,Mixed,No
231,Sol’CH,Switzerland,2021,New,Residential,-,Monocrystalline,-,Opaque,-;30;34;47770;-,30,284,47700,115,Grey,Satin,Custom,Mixed,No,Agglomeration,1,All,90,Rainscreen,Homogeneous,Grid,Integration,Vertical,No
232,Winter Wonder Building,Switzerland,2022,Retrofit,Residential,-,Monocrystalline,-,Translucent,-;106;-;78000;-,106,-,78000,-,Blue,Satin,Custom,Rectangular,Yes,Agglomeration,>0.5,All,90,Facade Security; Rainscreen,Heterogeneous,Grid,Dominant,Mixed,No
233,Solar Living,Switzerland,2020,New,Residential,-,Monocrystalline,-,Opaque,-;27;0;-;-,26.7,223,-,-,Green,Structured,Custom,Rectangular,No,Urban,<0.5,All,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Vertical,No
234,Solar Silo,Switzerland,2015,Retrofit,Office,Integrated,Monocrystalline,Mono,Opaque,1860;IEA Case Studies;16400,11.2,77,16500,-,Multi,Satin,Custom,Rectangular,No,Urban,>0.5,S;N,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Horizontal,No
235,Solarer Anbau; SBB Cargo,Switzerland,2017,Retrofit,Industrial,Facade Glazing,Monocrystalline,-,Translucent,76 kWp,76,486,86900,-,Black,Flat,Standard,Rectangular,Yes,Industrial,1,SW,90,Rainscreen,Homogeneous,Flat,Dominant,Horizontal,No
236,Solares Mehrfamilienhaus,Switzerland,2017,New,Residential,Facade Security,Monocrystalline,-,Opaque,59 kWp,16,103,9200,-,Black,Flat,Custom,Rectangular,Yes,Agglomeration,<0.5,SE,90,Facade Security,Heterogeneous,Depth,Integration,Horizontal,No
237,Solares Parkhaus,Switzerland,2016,-,Public,Facade Security,Monocrystalline,-,Opaque,634 kWp,404,2400,330000,-,Black,Flat,Large,Rectangular,Yes,Industrial,0.5,S,70,Rainscreen,Heterogeneous,Banner,Dominant,Horizontal,No
238,Solaris 416,Switzerland,2017,New,Residential,Rainscreen,Monocrystalline,-,Opaque,-;46;25;31832;-,46,400,31800,116,Red,Structured,Small,Rectangular,No,Urban,1,All,90,Rainscreen,Homogeneous,Flat,Subordination,Horizontal,No
239,Solarsiedlung Hintere Luegeten,Switzerland,2012,New,Residential,"Cold Facade,Louvres Balcony",Mixed,-,Opaque,Urban;34.4 kWp ;720 m2(roof); 362 m2(facade),34.4,362,-,-,Black,Flat,Custom,Square,No,Urban,<0.5,S,90,Rainscreen,Heterogeneous,Banner,Integration,Centric,No
240,Soleol SA,Switzerland,2015,New,Office,Facade Cladding,Monocrystalline,-,Opaque,231 kWp,33.2,212,13200,-,Black,Flat,Standard,Rectangular,Yes,Industrial,0.5,S,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Vertical,No
241,St. Franziskus Church,Switzerland,2018,Retrofit,Public,Rainscreen,Monocrystalline,-,Opaque,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
242,St. Otmarsberg Solar Abbey,Switzerland,2017,-,Public,"Discontinuous roof, Rainscreen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
243,SUVA Zurich,Switzerland,2023,Retrofit,Office,-,Monocrystalline,-,Opaque,2022;87;-;160000;-,87,-,160000,-,Black,Flat,Small,Square,No,Urban,<0.5,E,90,Rainscreen,Heterogeneous,Banner,Integration,Centric,No
244,Swiss House of Beauty,Switzerland,2012,Retrofit,Office,"Cold Facade,Louvres Balcony",Monocrystalline,Mono,-,1971;Swiss BIPV Competence Center;10000,16.8,100,1000,-,Black,Flat,Custom,Rectangular,Yes,Urban,0.5,E;S;W,90,Rainscreen,Heterogeneous,Grid,Integration,Horizontal,No
245,Swiss Tech convention Center,Switzerland,2014,New,Public,Solar Control,Thin Film,-,Transparent,2 kWp,2,250,-,-,Multi,Flat,Custom,Rectangular,No,Urban,>0.5,W,90,Solar Control,Heterogeneous,Sculptural,Integration,Vertical,No
246,Talstation Klein Matterhorn Bahn,Switzerland,2017,-,Public,Facade Glazing,Monocrystalline,-,Translucent,136 kWp,136,877,148500,-,Black,Flat,Standard,Rectangular,Yes,Mountain,1,S,90,Rainscreen,Homogeneous,Grid,Integration,Horizontal,No
247,UBS building,Switzerland,1998,-,Office,Rainscreen,-,-,Opaque,-,-,-,-,-,Black,Glossy,Standard,Rectangular,Yes,Industrial,>0.5,SW,90,Attached,Heterogeneous,Flat,Subjugation,Vertical,No
248,Umwelt Arena,Switzerland,2011,New,Public,Rainscreen,Monocrystalline,-,Opaque,-,737,5330,-,-,Black,Flat,Small,Rectangular,Yes,Industrial,1,All,Var.,Rainscreen,Homogeneous,Skin,Integration,Horizontal,No
249,Wattbuck Tower,Switzerland,2019,Retrofit,Residential,-,Monocrystalline,-,Opaque,-;84;0;53000;0,84,470,53000,178,Black,Flat,Custom,Rectangular,No,Urban,<0.5,E;S;W,90,Rainscreen,Heterogeneous,Banner,Integration,Centric,No
250,Werkhof Mels,Switzerland,2011,Retrofit,Office,Louvres Balcony,Thin Film,-,Transparent,-;13.5 kWp;135,13.5,135,-,-,Black,Flat,Standard,Rectangular,No,Industrial,>0.5,SE,90,Solar Control,Heterogeneous,Grid,Integration,Horizontal,No
251,Bursagaz,Turkey,2016,-,Office,Solar Control,Amorphous silicon,-,Transparent,4.1 kWp,4.1,-,-,49,Black,Flat,Custom,Rectangular,No,Urban,0.5,SW,90,Solar Control,Heterogeneous,Depth,Integration,Mixed,No
252,Dubai Frame,United Arab Emirates,2015,-,Public,Facade Glazing,Amorphous silicon,-,Transparent,28 kWp,38,1200,-,34,Black,Flat,Custom,Rectangular,No,Urban,<0.5,All,90,Warm Facade,Heterogeneous,Sculptural,Integration,Vertical,No
253,EXPO 2020 Monaco Pavilion,United Arab Emirates,2020,New,Public,-,-,-,-,-;50;0;63000;0,-,-,28000,-,Black,Flat,Large,Mixed,-,Urban,1,All,Var.,Warm Facade,Homogeneous,Sculptural,Integration,Mixed,No
254,Caltrans District 7 Headquarters,United States,2007,-,Office,Solar Control,-,-,Translucent,-,-,-,-,-,Black,Flat,Standard,Rectangular,Yes,Urban,0.5,SW,45,Solar Control,Heterogeneous,HighTech,Integration,Horizontal,No
255,Green Dot Animo Lennox High School,United States,2013,New,Educational,Facade Cladding,-,-,Opaque,-,-,-,-,-,Blue,Flat,Standard,Rectangular,Yes,Urban,1,SW,90,Rainscreen,Homogeneous,Grid,Dominant,Vertical,No
256,Life Science Building,United States,2018,New,Educational,Solar Control,Amorphous silicon,-,Transparent,-,-,-,-,40,-,Flat,Custom,Rectangular,No,Urban,0.5,SE,90,Solar Control,Heterogeneous,Rhythmic,Integration,Vertical,No
257,De Loskade,Netherlands,2019,New,Residential,Rainscreen,Monocrystalline,-,Opaque,"3,400 kWh, 88 m2 / 53 m2(active)",-,53,3400,-,Multi,Satin,Small,Rectangular,No,Urban,<0.5,S,90,Attached,Heterogeneous,Banner,Subjugation,Horizontal,Yes
258,Loft Office,Netherlands,2024,Retrofit,Office,"Facade,Ventilated Facade",Monocrystalline,-,Opaque,391 m2 / 365 m2(active),-,365,-,-,Black,Satin,Custom,Rectangular,No,Urban,1,SE,90,Rainscreen,Homogeneous,Grid,Integration,Vertical,No
259,Baobab | De Kwekerij,Netherlands,2024,Retrofit,Multifunctional,Rainscreen,Monocrystalline,-,Opaque,"105,000 kWh per year, 1352 m2 / 917 m2(active)",-,917,105000,-,Black,Satin,Custom,Rectangular,No,Urban,>0.5,S,90,Attached,Heterogeneous,Grid,Dominant,Vertical,No
260,dsm-firmenich headquarters,Netherlands,2023,New,Office,Facade,Monocrystalline,-,Opaque,"36,000 kWh per year, 521 m2 / 465 m2 (active)",-,465,36000,-,Grey,Satin,Standard,Rectangular,No,Urban,<0.5,SE;SW,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Vertical,Yes
261,De Kikker,Netherlands,2024,Retrofit,Educational,Facade,Monocrystalline,-,Opaque,"67,000 kWh per year, 1444 m2(With Dummies) / 1373 m2(Active)",-,1373,67000,-,Green,Satin,Custom,Rectangular,No,Urban,1,All,90,Rainscreen,Homogeneous,Flat,Integration,Horizontal,Yes
262,COOP-Hauptsitz TH12,Switzerland,2020,Retrofit,Office,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"1626m2, 158kWp",158,1626,69830,55,Black,Flat,Custom,Rectangular,No,Urban,0.5,All,90,Rainscreen,Heterogeneous,Grid,Integration,Horizontal,No
263,Drei Wohnungen,Switzerland,2021,New,Residential,"Facade,Ventilated Facade, Facade Security",Monocrystalline,Mono,Opaque,"44m2, 14kWp",14,44,-,-,Brown,Satin,Custom,Rectangular,No,Agglomeration,<0.5,All,90,Rainscreen,Heterogeneous,Banner,Integration,Horizontal,No
264,Sportplatz Schorenmatte,Switzerland,2020,New,Sport,Solar Control,Monocrystalline,Mono,Opaque,"45.6kWp, 41'500kWh/j",45.6,-,41500,-,Black,Flat,Standard,Rectangular,No,Agglomeration,<0.5,S,30,Solar Control,Heterogeneous,HighTech,Dominant,Horizontal,No
265,Neubau Mehrgeneration-Plusenergiehaus,Switzerland,2022,New,Residential,Facade Security,Monocrystalline,Mono,Translucent,-,-,-,-,-,Black,Flat,Standard,Rectangular,Yes,Agglomeration,0.5,E;S;W,90,Facade Security,Heterogeneous,Banner,Integration,Vertical,No
266,Lo Scudo di Stabio,Switzerland,2022,New,Residential,Facade Cladding,Monocrystalline,Mono,Opaque,22.45kWp,22.45,-,-,-,Black,Flat,Standard,Rectangular,No,Agglomeration,<0.5,SE;SW,90,Attached,Heterogeneous,Depth,Integration,Vertical,No
267,Egga-Haus,Switzerland,2023,New,Residential,Facade Cladding,Monocrystalline,Mono,Opaque,-,-,-,-,-,Black,Flat,Standard,Rectangular,Yes,Rural,<0.5,E;S;W,90,Rainscreen,Heterogeneous,Banner,Integration,Horizontal,No
268,Geschäftshaus Bellerivestrasse 36,Switzerland,2024,Retrofit,Office,Solar Control,Monocrystalline,Mono,Opaque,76 - 304 Wp,-,-,-,-,Brown,Flat,Custom,Mixed,No,Urban,<0.5,All,30,Solar Control,Heterogeneous,Banner,Dominant,Horizontal,No
269,Ersatzneubau MFH Zwyssigstrasse 7/9,Switzerland,2017,New,Residential,Facade Security,Polycrystalline ,Poly,Opaque,"25'000kWh, 56kWp",56,-,25000,-,Green,Flat,Standard,Rectangular,Yes,Urban,0.5,All,90,Facade Security,Heterogeneous,Depth,Integration,Horizontal,No
270,Ziekenhuis (Hospital),Belgium,-,New,Public,Rainscreen,Monocrystalline,Mono,Translucent,"46kWp, 31000kWh/a",46,-,31000,-,Black,Flat,Standard,Mixed,Yes,Urban,<0.5,S,45,Warm Facade,Heterogeneous,Depth,Integration,Vertical,No
271,Appleton Tower,Scotland,-,Retrofit,Office,"Facade,Ventilated Facade",Monocrystalline,Mono,Opaque,"26kWp, 19000kWh/a",26,-,19000,-,Black,Flat,Standard,Rectangular,No,Urban,<0.5,S,90,Rainscreen,Heterogeneous,Banner,Subordination,Vertical,No
272,Northumberland Building,United Kingdom,1994,Retrofit,Office,Solar Control,Polycrystalline ,Poly,Opaque,"40kWp, 25000kWh/a",40,-,25000,-,Blue,Flat,Small,Rectangular,Yes,Urban,0.5,S,70,Solar Control,Heterogeneous,Banner,Integration,Vertical,No
273,Heron Tower,United Kingdom,2011,New,Office,Curtain wall,Monocrystalline,Mono,Translucent,"153kWp, 92000kWh/a",153,-,92000,-,Black,Flat,Large,Rectangular,Yes,Urban,<0.5,S,90,Warm Facade,Heterogeneous,Grid,Integration,Horizontal,No
274,CMB HQ,Italy,2006,New,Office,Facade Glazing,Polycrystalline ,Poly,Opaque,-,-,-,-,-,Blue,Flat,Standard,Rectangular,Yes,Urban,<0.5,S,90,Warm Facade,Heterogeneous,Sculptural,Integration,Horizontal,No
275,Hochhaus Holenackerstrasse,Switzerland,2023,Retrofit,Residential,Facade Cladding,CIGS,-,Opaque,"85,6kWp, 511000kWh/a, 672m2",85.6,672,511000,-,Brown,Satin,Standard,Rectangular,No,Agglomeration,<0.5,SW,90,Rainscreen,Heterogeneous,Depth,Integration,Horizontal,No
276,Office Spencer Street,Australia,2023,New,Office,Facade Glazing,CIGS,-,Opaque,"146kWp, 75730kWh/a, 1203m2",146,1203,75730,-,-,Flat,Custom,Rectangular,No,Urban,0.5,N,90,Warm Facade,Homogeneous,VertZigZag,Integration,Horizontal,No
277,DHL Parkhaus,Germany,2023,New,Public,Facade Cladding,CIGS,-,Opaque,"240kWp, 809000kWh/a (incl. roof), 1872m2 (only Facade)",240,1872,-,-,Multi,Satin,Custom,Rectangular,No,Agglomeration,0.5,S,Var.,Attached,Homogeneous,Dynamic,Dominant,Vertical,No
278,Gasmotorenwerk Saarbrücken,Germany,2022,Retrofit,Industrial,"Facade,Ventilated Facade",CIGS,-,Opaque,"120.5kWp, 79400kWh/a, 1058m2",120.5,1058,79400,-,White,Satin,Standard,Rectangular,No,Industrial,1,S,90,Rainscreen,Heterogeneous,VertZigZag,Integration,Vertical,No
279,RWE Parkhaus,Germany,2022,New,Public,Facade Cladding,CIGS,-,Opaque,"120kWp, 66840kWh/a, 850m2",120,850,66840,-,Black,Satin,Standard,Rectangular,No,Urban,0.5,E;S;W,90,Rainscreen,Heterogeneous,Banner,Integration,Vertical,No
280,LAB42,Netherlands,2021,New,Office,Facade Cladding,CIGS,-,Opaque,"46,5kWp, 29000kWh/a, 349m2",46.5,349,29000,-,Black,Satin,Custom,Rectangular,No,Urban,<0.5,SE;SW,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Vertical,No
281,Nya Kronan,Sweden,2021,Retrofit,Residential,"Facade,Ventilated Facade",CIGS,-,Opaque,"68.6kWp, 48900kWh/a, 527m2",68.6,527,48900,-,Black,Flat,Custom,Rectangular,No,Urban,1,SE;SW,90,Rainscreen,Homogeneous,Rhythmic,Integration,Vertical,No
282,Bremer Tor,Germany,2021,Retrofit,Multifunctional,"Facade,Ventilated Facade",CIGS,-,Opaque,"32.8kWp, 194000kWh/a, 246.6m2",32.8,246.6,194000,-,Black,Flat,Custom,Rectangular,No,Urban,1,E;W,90,Rainscreen,Heterogeneous,Banner,Integration,Vertical,No
283,Sara Kulturhus,Sweden,2021,New,Multifunctional,"Facade,Ventilated Facade",CIGS,-,Opaque,"39.5kWp, 21800kWh/a, 319m2",39.5,319,218000,-,Bronze,Satin,Standard,Rectangular,No,Urban,<0.5,All,90,Rainscreen,Heterogeneous,Rhythmic,Subordination,Horizontal,No
284,Solarhaus,Poland,2020,New,Residential,"Facade,Ventilated Facade",CIGS,-,Opaque,"14.2kWp, 10700kWh/a, 107m2",14.2,107,107000,-,Black,Satin,Standard,Rectangular,No,Agglomeration,0.5,S,90,Rainscreen,Heterogeneous,Depth,Integration,Horizontal,No
285,Dreifeld-Sporthalle ,Germany,2022,New,Sport,"Facade,Ventilated Facade",CIGS,-,Opaque,"75kWp, 37400kWh/a, 565m2",75,565,37400,-,Grey,Satin,Standard,Rectangular,No,Agglomeration,0.5,SE;SW,90,Rainscreen,Heterogeneous,Flat,Integration,Horizontal,No
286,Helmholtz-Zentrum,Germany,2020,New,Institutional,"Facade,Ventilated Facade",CIGS,-,Opaque,"48kWp, 28000kWh/a, 378m2",48,378,28000,-,Blue,Satin,Standard,Rectangular,No,Agglomeration,<0.5,E;S,90,Rainscreen,Heterogeneous,Grid,Integration,Horizontal,No
287,Campus Aqua,Switzerland,2020,New,Industrial,"Facade,Ventilated Facade",CIGS,-,Opaque,"176.7kWp, 90000kWh/a, 1432m2",176.7,1432,90000,-,Green,Satin,Standard,Rectangular,No,Industrial,1,All,90,Rainscreen,Homogeneous,Grid,Integration,Horizontal,No
288,Westspitze,Germany,2020,New,Office,"Facade,Ventilated Facade",CIGS,-,Opaque,"82.4kWp, 50400kWh/a, 659m2",82.4,659,50400,-,Bronze,Satin,Standard,Rectangular,No,Urban,>0.5,E;S;W,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Vertical,No
289,Stadtwerke,Germany,2020,Retrofit,Office,"Facade,Ventilated Facade",CIGS,-,Opaque,"11.3kWp, 8500kWh/a, 85.4m2",11.3,85.4,8500,-,Black,Flat,Standard,Rectangular,No,Urban,0.5,SE,90,Attached,Heterogeneous,Flat,Subjugation,Vertical,No
290,MFH Brünnenstrasse,Switzerland,2019,Retrofit,Residential,Facade Cladding,CIGS,-,Opaque,"11.9kWp, 3100kWh/a, 88.2m2",11.9,88.2,3100,-,Multi,Satin,Standard,Rectangular,No,Urban,>0.5,NW,90,Attached,Heterogeneous,Rhythmic,Dominant,Vertical,No
291,The Edge,Netherlands,2015,New,Office,"Facade,Ventilated Facade",CIGS,-,Opaque,100kWp,100,-,-,-,Black,Flat,Custom,Rectangular,No,Urban,<0.5,S,90,Rainscreen,Heterogeneous,Sculptural,Integration,Vertical,No
292,Galaxy Tower,Netherlands,2023,New,Multifunctional,Facade Glazing,Monocrystalline,Mono,Opaque,"153.8kWp, 78300kWh/a",153.8,-,78300,-,Black,Flat,Custom,Rectangular,No,Urban,<0.5,E;S;W,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Vertical,No
293,Haut,Netherlands,2022,New,Residential,Facade Glazing,Monocrystalline,Mono,Opaque,"73.1kWp, 50000kWh/a",73.1,-,50000,-,Black,Flat,Custom,Rectangular,No,Urban,<0.5,S,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Vertical,No
294,0 Aeres Hogeschool,Netherlands,2021,New,Educational,Solar Control,Monocrystalline,Mono,Translucent,"68.3kWp, 42500kWh/a (only Facade)",68.3,-,42500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
295,Stadsarchief Depot Noord,Netherlands,2019,New,Office,Facade Cladding,-,-,Opaque,-,-,-,-,-,Black,Satin,Standard,Rectangular,No,Industrial,<0.5,SE;SW,90,Attached,Heterogeneous,Banner,Integration,Vertical,Yes
296,Wohnpark Mariendorf,Germany,2018,Retrofit,Residential,Facade Cladding,-,-,Opaque,"13.9kWp, 7900kWh/a, 105m2",13.9,105,7900,-,Black,Flat,Standard,Rectangular,No,Urban,<0.5,SW,90,Attached,Heterogeneous,Depth,Subjugation,Vertical,No
297,Volg Konsumwaren AG,Switzerland,2018,Retrofit,Office,"Facade,Ventilated Facade",-,-,Opaque,"10.3kWp, 7500kWh/a, 71m2",10.3,71,7500,-,Blue,Satin,Standard,Rectangular,No,Rural,1,SW,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Vertical,No
